City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,savanna-la-mar,18.219,-78.1332,301.12,85,14,1.32,JM,1695090690
1,bethel,41.3712,-73.414,289.32,88,68,0.89,US,1695090547
2,waitangi,-43.9535,-176.5597,286.38,77,1,3.58,NZ,1695090690
3,sarh,9.1429,18.3923,297.1,100,20,1.54,TD,1695090691
4,puerto ayora,-0.7393,-90.3518,296.79,97,27,2.68,EC,1695090691
5,xilin hot,43.9667,116.0333,288.75,41,68,4.28,CN,1695090691
6,sinabang,2.4803,96.3801,301.23,79,64,1.74,ID,1695090691
7,klyuchi,52.2667,79.1667,287.49,74,99,2.08,RU,1695090691
8,zaraysk,54.7653,38.8836,282.42,93,78,2.62,RU,1695090691
9,avarua,-21.2078,-159.775,295.18,64,75,3.09,CK,1695090585
10,chik ballapur,13.4342,77.7242,294.05,77,100,4.21,IN,1695090692
11,longyearbyen,78.2186,15.6401,269.06,80,20,1.54,SJ,1695090692
12,grytviken,-54.2811,-36.5092,268.0,79,55,6.15,GS,1695090692
13,al jawf,29.5,38.75,295.72,28,0,2.83,SA,1695090176
14,georgetown,5.4112,100.3354,303.12,82,20,2.24,MY,1695090129
15,puerto natales,-51.7236,-72.4875,272.0,86,15,0.99,CL,1695090367
16,albany,42.6001,-73.9662,288.72,94,86,1.61,US,1695090105
17,port-aux-francais,-49.35,70.2167,276.8,87,94,14.5,TF,1695090364
18,maceio,-9.6658,-35.7353,297.84,94,75,3.09,BR,1695090693
19,vilyuchinsk,52.9306,158.4028,289.3,58,99,2.84,RU,1695090129
20,port mathurin,-19.6833,63.4167,296.12,80,9,9.75,MU,1695090147
21,enewetak,11.3474,162.3373,299.47,86,100,7.95,MH,1695090138
22,kamina,-8.7386,24.9906,291.09,86,8,1.01,CD,1695090693
23,iqaluit,63.7506,-68.5145,274.0,74,100,3.6,CA,1695090693
24,mount pearl,47.5166,-52.7813,283.68,92,100,3.09,CA,1695090694
25,thompson,55.7435,-97.8558,290.24,72,20,1.03,CA,1695090694
26,afaahiti,-17.75,-149.2833,298.08,86,100,7.43,PF,1695090694
27,kupang,-10.1667,123.5833,306.47,24,20,10.29,ID,1695090694
28,newnham,-41.3833,147.1333,290.68,67,40,13.89,AU,1695090694
